Vectorization_Method_and_lead,R_n,Accuracy,,,
Pers_Vec_Vectorization_nooverlap_V2,R4_w7,0.790791476,,,
Pers_Vec_Vectorization_nooverlap_V3,R4_w7,0.768607306,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R4_w7,0.786556448,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R4_w7,0.793434105,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R4_w7,0.786547,,,
Pers_Vec_Vectorization_nocount_all,R4_w7,0.790660804,,,
Pers_Vec_Vectorization_nocount_V1,R4_w7,0.790791476,,,
Pers_Vec_Vectorization_nocount_V2,R4_w7,0.790791476,,,
Pers_Vec_Vectorization_nocount_V3,R4_w7,0.779718417,,,
Pers_Vec_Vectorization_nocount_V1_V2,R4_w7,0.789305621,,,
Pers_Vec_Vectorization_nocount_V1_V3,R4_w7,0.793443552,,,
Pers_Vec_Vectorization_nocount_V2_V3,R4_w7,0.783797827,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R4_w7,0.789743373,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R4_w7,0.78805175,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R4_w7,0.785312024,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R4_w7,0.782458143,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R4_w7,0.790684932,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R4_w7,0.789305621,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R4_w7,0.790684932,,,
Pers_Vec_Vectorization_noarea_all,R4_w7,0.78239124,,,
Pers_Vec_Vectorization_noarea_V1,R4_w7,0.78261035,,,
Pers_Vec_Vectorization_noarea_V2,R4_w7,0.78261035,,,
Pers_Vec_Vectorization_noarea_V3,R4_w7,0.788089802,,,
Pers_Vec_Vectorization_noarea_V1_V2,R4_w7,0.786565895,,,
Pers_Vec_Vectorization_noarea_V1_V3,R4_w7,0.787926311,,,
Pers_Vec_Vectorization_noarea_V2_V3,R4_w7,0.790675484,,,
