Vectorization_Method_and_lead,R_n,Accuracy,,,
Pers_Vec_Vectorization_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_V2_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_nooverlap_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V3,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_nocount_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V3,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_V2_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_noarea_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V3,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_V2_V3,R4_w7,0.790637695,,,
