Vectorization_Method_and_lead,R_n,Accuracy
Pers_Vec_Vectorization_noarea_V2,R3_w7,0.7961567732115677
Pers_Vec_Vectorization_noarea_V3,R3_w7,0.8016742770167428
Pers_Vec_Vectorization_noarea_V1_V2,R3_w7,0.7933963155408597
Pers_Vec_Vectorization_noarea_V1_V3,R3_w7,0.7947756258856872
Pers_Vec_Vectorization_noarea_V2_V3,R3_w7,0.7947756258856872
Betti_Vectorization_all_1,R4_w7,0.7915655519384434
Betti_Vectorization_all_5,R4_w7,0.7943220733099395
Betti_Vectorization_all_10,R4_w7,0.7989219126537861
Betti_Vectorization_all_100,R4_w7,0.7869530292140532
Betti_Vectorization_V1_1,R4_w7,0.7934170471841705
Betti_Vectorization_V1_5,R4_w7,0.7962328767123287
Betti_Vectorization_V1_10,R4_w7,0.7907153729071537
Betti_Vectorization_V1_100,R4_w7,0.7630898021308979
Betti_Vectorization_V2_1,R4_w7,0.7961567732115677
Betti_Vectorization_V2_5,R4_w7,0.7961567732115677
Betti_Vectorization_V2_10,R4_w7,0.7797184170471841
Betti_Vectorization_V2_100,R4_w7,0.7823820395738204
Betti_Vectorization_V3_1,R4_w7,0.804490106544901
Betti_Vectorization_V3_5,R4_w7,0.7906392694063926
Betti_Vectorization_V3_10,R4_w7,0.7824961948249618
Betti_Vectorization_V3_100,R4_w7,0.798972602739726
Betti_Vectorization_V1_V2_1,R4_w7,0.7920170051960321
Betti_Vectorization_V1_V2_5,R4_w7,0.7947756258856872
Betti_Vectorization_V1_V2_10,R4_w7,0.7810297590930562
Betti_Vectorization_V1_V2_100,R4_w7,0.7837411431270667
Betti_Vectorization_V1_V3_1,R4_w7,0.7933963155408597
Betti_Vectorization_V1_V3_5,R4_w7,0.7961549362305148
Betti_Vectorization_V1_V3_10,R4_w7,0.7906471421823335
Betti_Vectorization_V1_V3_100,R4_w7,0.7933963155408597
Betti_Vectorization_V2_V3_1,R4_w7,0.7947661785545582
Betti_Vectorization_V2_V3_5,R4_w7,0.7920170051960321
Betti_Vectorization_V2_V3_10,R4_w7,0.7865092111478507
Betti_Vectorization_V2_V3_100,R4_w7,0.7906282475200757
Pers_Vec_Vectorization_all,R4_w7,0.7970828224749503
Pers_Vec_Vectorization_V1,R4_w7,0.7851978691019786
Pers_Vec_Vectorization_V2,R4_w7,0.798972602739726
Pers_Vec_Vectorization_V3,R4_w7,0.7906012176560121
Pers_Vec_Vectorization_V1_V2,R4_w7,0.7961549362305148
Pers_Vec_Vectorization_V1_V3,R4_w7,0.7961549362305148
Pers_Vec_Vectorization_V2_V3,R4_w7,0.7961643835616439
Pers_Vec_Vectorization_nooverlap_all,R4_w7,0.7869699403881114
Pers_Vec_Vectorization_nooverlap_V1,R4_w7,0.7769025875190259
Pers_Vec_Vectorization_nooverlap_V2,R4_w7,0.7851217656012176
Pers_Vec_Vectorization_nooverlap_V3,R4_w7,0.7851217656012175
Pers_Vec_Vectorization_nooverlap_V1_V2,R4_w7,0.7865092111478507
Pers_Vec_Vectorization_nooverlap_V1_V3,R4_w7,0.7865092111478507
Pers_Vec_Vectorization_nooverlap_V2_V3,R4_w7,0.789248937175248
Pers_Vec_Vectorization_nocount_all,R4_w7,0.7888048027734326
Pers_Vec_Vectorization_nocount_V1,R4_w7,0.7824581430745814
Pers_Vec_Vectorization_nocount_V2,R4_w7,0.7961187214611871
Pers_Vec_Vectorization_nocount_V3,R4_w7,0.7878234398782343
Pers_Vec_Vectorization_nocount_V1_V2,R4_w7,0.7892678318375059
Pers_Vec_Vectorization_nocount_V1_V3,R4_w7,0.7851393481341521
Pers_Vec_Vectorization_nocount_V2_V3,R4_w7,0.7947756258856874
Pers_Vec_Vectorization_nocount_nooverlap_all,R4_w7,0.795231048915571
Pers_Vec_Vectorization_nocount_nooverlap_V1,R4_w7,0.793455098934551
Pers_Vec_Vectorization_nocount_nooverlap_V2,R4_w7,0.7851217656012176
Pers_Vec_Vectorization_nocount_nooverlap_V3,R4_w7,0.7768264840182648
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R4_w7,0.7906376948512046
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R4_w7,0.7920170051960321
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R4_w7,0.7906282475200757
Pers_Vec_Vectorization_noarea_all,R4_w7,0.7915655519384434
Pers_Vec_Vectorization_noarea_V1,R4_w7,0.7934170471841705
Pers_Vec_Vectorization_noarea_V2,R4_w7,0.7961567732115677
Pers_Vec_Vectorization_noarea_V3,R4_w7,0.804490106544901
Pers_Vec_Vectorization_noarea_V1_V2,R4_w7,0.7920170051960321
Pers_Vec_Vectorization_noarea_V1_V3,R4_w7,0.7933963155408597
Pers_Vec_Vectorization_noarea_V2_V3,R4_w7,0.7947661785545582
