Vectorization_Method,Dimension,Leads,N,TIME
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V2_V3,0,2.461992502
Pers_Vec_Vectorization_nocount_nooverlap,R4,_all,0,2.484481335
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V1,0,1.786022663
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V2,0,1.759557009
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V3,0,1.742659092
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V1_V2,0,2.527365685
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V1_V3,0,2.513480902
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V2_V3,0,2.492992401
Pers_Vec_Vectorization_noarea,R2,_all,0,2.279596806
Pers_Vec_Vectorization_noarea,R2,_V1,0,1.656984091
Pers_Vec_Vectorization_noarea,R2,_V2,0,1.644116163
Pers_Vec_Vectorization_noarea,R2,_V3,0,1.63974309
Pers_Vec_Vectorization_noarea,R2,_V1_V2,0,2.283808708
Pers_Vec_Vectorization_noarea,R2,_V1_V3,0,2.271452188
Pers_Vec_Vectorization_noarea,R2,_V2_V3,0,2.274105072
Pers_Vec_Vectorization_noarea,R3,_all,0,2.308325291
Pers_Vec_Vectorization_noarea,R3,_V1,0,1.688218594
Pers_Vec_Vectorization_noarea,R3,_V2,0,1.671378613
Pers_Vec_Vectorization_noarea,R3,_V3,0,1.659598589
Pers_Vec_Vectorization_noarea,R3,_V1_V2,0,2.338755131
Pers_Vec_Vectorization_noarea,R3,_V1_V3,0,2.329504013
Pers_Vec_Vectorization_noarea,R3,_V2_V3,0,2.323252201
Pers_Vec_Vectorization_noarea,R4,_all,0,2.330157518
Pers_Vec_Vectorization_noarea,R4,_V1,0,1.706520081
Pers_Vec_Vectorization_noarea,R4,_V2,0,1.693257809
Pers_Vec_Vectorization_noarea,R4,_V3,0,1.673485994
Pers_Vec_Vectorization_noarea,R4,_V1_V2,0,2.372883081
Pers_Vec_Vectorization_noarea,R4,_V1_V3,0,2.370729446
Pers_Vec_Vectorization_noarea,R4,_V2_V3,0,2.337638855
